pair_id,rna_type,reference_file_name,dinoknot_file_name,TP,FP,FN,TN,TPR,PPV,MCC
62,srna_ref,62_filtered_srna_ref_output.bpseq,62_filtered_srna_dinoknot_output.bpseq,0.0,6.0,3.0,223446.0,0.0,0.0,-1.8986937541938277e-05
49,srna_ref,49_filtered_srna_ref_output.bpseq,49_filtered_srna_dinoknot_output.bpseq,16.0,0.0,0.0,997562.0,1.0,1.0,1.0
109,srna_ref,109_filtered_srna_ref_output.bpseq,109_filtered_srna_dinoknot_output.bpseq,0.0,16.0,14.0,982101.0,0.0,0.0,-1.5239166806266798e-05
69,srna_ref,69_filtered_srna_ref_output.bpseq,69_filtered_srna_dinoknot_output.bpseq,0.0,10.0,5.5,606651.0,0.0,0.0,-1.222466252592033e-05
60,srna_ref,60_filtered_srna_ref_output.bpseq,60_filtered_srna_dinoknot_output.bpseq,20.0,5.5,1.0,1097401.0,0.9523809523809524,0.7843137254901961,0.8642688552558943
27,srna_ref,27_filtered_srna_ref_output.bpseq,27_filtered_srna_dinoknot_output.bpseq,17.0,0.0,0.0,1824988.0,1.0,1.0,1.0
83,srna_ref,83_filtered_srna_ref_output.bpseq,83_filtered_srna_dinoknot_output.bpseq,0.0,6.0,3.0,1081185.0,0.0,0.0,-3.924049102514747e-06
30,srna_ref,30_filtered_srna_ref_output.bpseq,30_filtered_srna_dinoknot_output.bpseq,12.0,0.0,0.0,1018866.0,1.0,1.0,1.0
23,srna_ref,23_filtered_srna_ref_output.bpseq,23_filtered_srna_dinoknot_output.bpseq,16.0,0.0,0.0,823670.0,1.0,1.0,1.0
12,srna_ref,12_filtered_srna_ref_output.bpseq,12_filtered_srna_dinoknot_output.bpseq,0.0,14.0,4.0,148785.0,0.0,0.0,-5.029312188510925e-05
81,srna_ref,81_filtered_srna_ref_output.bpseq,81_filtered_srna_dinoknot_output.bpseq,0.0,6.5,3.5,1148370.0,0.0,0.0,-4.153430723490843e-06
15,srna_ref,15_filtered_srna_ref_output.bpseq,15_filtered_srna_dinoknot_output.bpseq,7.0,2.5,2.5,594588.0,0.7368421052631579,0.7368421052631579,0.7368379006887491
92,srna_ref,92_filtered_srna_ref_output.bpseq,92_filtered_srna_dinoknot_output.bpseq,0.0,8.5,4.5,733866.0,0.0,0.0,-8.427429067650657e-06
39,srna_ref,39_filtered_srna_ref_output.bpseq,39_filtered_srna_dinoknot_output.bpseq,0.0,21.5,13.0,1502511.0,0.0,0.0,-1.1126748197491374e-05
74,srna_ref,74_filtered_srna_ref_output.bpseq,74_filtered_srna_dinoknot_output.bpseq,13.0,14.0,2.5,557027.0,0.8387096774193549,0.4814814814814814,0.6354583487098538
29,srna_ref,29_filtered_srna_ref_output.bpseq,29_filtered_srna_dinoknot_output.bpseq,11.0,5.0,8.5,1701079.0,0.5641025641025641,0.6875,0.6227484832219499
71,srna_ref,71_filtered_srna_ref_output.bpseq,71_filtered_srna_dinoknot_output.bpseq,0.0,3.0,6.0,3096316.0,0.0,0.0,-1.3702201329351347e-06
59,srna_ref,59_filtered_srna_ref_output.bpseq,59_filtered_srna_dinoknot_output.bpseq,13.0,0.0,0.0,393815.0,1.0,1.0,1.0
36,srna_ref,36_filtered_srna_ref_output.bpseq,36_filtered_srna_dinoknot_output.bpseq,0.0,10.5,11.5,866586.0,0.0,0.0,-1.2680208318191482e-05
57,srna_ref,57_filtered_srna_ref_output.bpseq,57_filtered_srna_dinoknot_output.bpseq,0.0,14.5,9.5,914628.0,0.0,0.0,-1.2832037298116576e-05
89,srna_ref,89_filtered_srna_ref_output.bpseq,89_filtered_srna_dinoknot_output.bpseq,9.0,2.0,0.5,295287.0,0.9473684210526316,0.8181818181818182,0.8804047202985694
50,srna_ref,50_filtered_srna_ref_output.bpseq,50_filtered_srna_dinoknot_output.bpseq,15.0,2.0,2.0,393813.0,0.8823529411764706,0.8823529411764706,0.8823478626497512
51,srna_ref,51_filtered_srna_ref_output.bpseq,51_filtered_srna_dinoknot_output.bpseq,0.0,19.0,5.5,544446.0,0.0,0.0,-1.877558867170448e-05
5,srna_ref,5_filtered_srna_ref_output.bpseq,5_filtered_srna_dinoknot_output.bpseq,19.0,0.0,0.0,1518134.0,1.0,1.0,1.0
104,srna_ref,104_filtered_srna_ref_output.bpseq,104_filtered_srna_dinoknot_output.bpseq,0.0,7.5,2.5,1432278.0,0.0,0.0,-3.023234248349516e-06
