pair_id,rna_type,reference_file_name,dinoknot_file_name,TP,FP,FN,TN,TPR,PPV,MCC
32,snorna_ref,32_filtered_snorna_ref_output.bpseq,32_filtered_snorna_dinoknot_output.bpseq,0.0,5.0,7.0,6081328.0,0.0,0.0,-9.72825992306901e-07
22,snorna_ref,22_filtered_snorna_ref_output.bpseq,22_filtered_snorna_dinoknot_output.bpseq,10.0,1.0,1.0,6070860.0,0.9090909090909092,0.9090909090909092,0.9090907443696282
31,snorna_ref,31_filtered_snorna_ref_output.bpseq,31_filtered_snorna_dinoknot_output.bpseq,0.0,7.0,7.0,6133753.0,0.0,0.0,-1.141224958263773e-06
1,snorna_ref,1_filtered_snorna_ref_output.bpseq,1_filtered_snorna_dinoknot_output.bpseq,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
23,snorna_ref,23_filtered_snorna_ref_output.bpseq,23_filtered_snorna_dinoknot_output.bpseq,13.0,0.0,1.0,6070857.0,0.9285714285714286,1.0,0.96362403229469
9,snorna_ref,9_filtered_snorna_ref_output.bpseq,9_filtered_snorna_dinoknot_output.bpseq,12.0,0.0,1.0,1788874.0,0.9230769230769232,1.0,0.9607686542905026
44,snorna_ref,44_filtered_snorna_ref_output.bpseq,44_filtered_snorna_dinoknot_output.bpseq,11.0,0.0,0.0,6046492.0,1.0,1.0,1.0
42,snorna_ref,42_filtered_snorna_ref_output.bpseq,42_filtered_snorna_dinoknot_output.bpseq,10.0,1.0,1.0,6060411.0,0.9090909090909092,0.9090909090909092,0.9090907440856256
38,snorna_ref,38_filtered_snorna_ref_output.bpseq,38_filtered_snorna_dinoknot_output.bpseq,11.0,1.5,1.5,6109249.0,0.88,0.88,0.8799997544706998
3,snorna_ref,3_filtered_snorna_ref_output.bpseq,3_filtered_snorna_dinoknot_output.bpseq,0.0,6.5,6.5,1853775.0,0.0,0.0,-3.506346352037713e-06
40,snorna_ref,40_filtered_snorna_ref_output.bpseq,40_filtered_snorna_dinoknot_output.bpseq,0.0,7.5,3.5,6112756.0,0.0,0.0,-8.381605241722703e-07
