interaction,result,free_energy,TP,FP,FN,TN,TPR,PPV,MCC
1,0,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,1,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,2,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,3,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,4,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,5,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,6,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,7,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,8,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,9,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,10,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,11,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,12,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,13,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,14,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,15,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,16,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,17,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,18,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,19,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,20,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,21,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,22,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,23,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,24,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,25,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,26,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,27,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,28,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,29,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,30,-390.86,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,31,-390.16,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,32,-390.16,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,33,-390.16,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,34,-389.96,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,35,-389.96,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,36,-389.96,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,37,-389.96,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,38,-389.96,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,39,-389.96,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,40,-389.55,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,41,-389.55,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,42,-389.55,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,43,-389.55,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,44,-389.54,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,45,-389.54,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,46,-389.19,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,47,-389.19,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,48,-389.19,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,49,-389.19,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,50,-389.19,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,51,-389.19,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,52,-389.19,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,53,-389,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,54,-389,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,55,-389,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,56,-388.7,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,57,-388.7,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,58,-388.7,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,59,-388.7,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,60,-388.7,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,61,-388.7,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,62,-388.7,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,63,-388.61,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,64,-388.61,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,65,-388.61,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,66,-388.61,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,67,-388.61,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,68,-388.61,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,69,-388.61,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,70,-388.49,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,71,-388.45,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,72,-388.45,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
